refno,material,property_name,property_value,property_unit,Has material been reported to be superconducting?,What is the highest measured Tc?,What is the lowest temp for measurement at which material was not superconducting?,file
PRB084052503,K0.75Fe1.68Se2,tc,31.0,K,Yes,31,,
PHC3560012,K0.75La0.25Bi1O3,tc,12.2,K,Yes,12.2,,
PRB084054526,K0.76Fe1.61Se0.96S1.04,tc,16.4,K,Yes,16.4,,PRB084054526
CHM0092127,K0.77Zr1N1Cl1,tc,13.5,K,Yes,13.5,,
PRB084174501,K0.79Fe1.64Se2,tc,30.4,K,Yes,30.4,,PRB084174501
PRB084054526,K0.7Fe1.55Se1.01S0.99,tc,21.4,K,Yes,21.4,,PRB084054526
ACS13502951,K0.7Fe2Se2M0.47,tc,30.0,K,Yes,30,,ACS13502951
P078180508,K0.7Sr0.3Fe2As2,tc,12.2,K,Yes,12.2,,P078180508
PRB083132502,K0.82Fe1.63Se2,tc,32.0,K,Yes,32,,PRB083132502
PRB087094508,K0.83Fe1.83Se2,tc,32.5,K,Yes,32.5,,PRB087094508
PHC3560012,K0.85Bi1.15O3,tc,7.4,K,Yes,7.4,,
NJP013033008,K0.85Fe2Se1.8,tc,32.6,K,Yes,32.6,,NJP013033008
PHC3560012,K0.85La0.15Bi1O3,tc,10.25,K,Yes,10.25,,
PRL107137003,K0.86Fe1.66Se2,tc,32.0,K,Yes,32,,PRL107137003
NJP013033008,K0.86Fe2Se1.82,tc,31.1,K,Yes,31.1,,NJP013033008
PHC3050275,K0.8Bi1.2O3,tc,10.2,K,Yes,10.2,,
APL098042511,K0.8Fe1.5Se2,tc,32.4,K,Yes,32.4,,APL098042511
PRB089094514,K0.8Fe1.6Se2,tcn,4.0,K,No,,4,PRB089094514
PRB083100514,K0.8Fe1.76Se2,tc,32.2,K,Yes,32.2,,PRB083100514
NAT4830067,K0.8Fe1.78Se2,tc,32.0,K,Yes,32,,NAT4830067
PRB085054507,K0.8Fe1.7S1Se1,tc,24.5,K,Yes,24.5,,
PRB085054507,K0.8Fe1.7S2,tcn,4.0,K,No,,4,
PRB089094514,K0.8Fe1.7Se2,tc,32.0,K,Yes,32,,PRB089094514
PRB084014502,K0.8Fe1.933Mn0.067Se2,tc,32.0,K,Yes,32,,
PRB084014502,K0.8Fe1.951Mn0.049Se2,tc,31.9,K,Yes,31.9,,
PRB084014502,K0.8Fe1.979Mn0.021Se2,tc,31.0,K,Yes,31,,
PHC5060040,K0.8Fe1.97Mn0.03Se2,tc,42.2,K,Yes,42.2,,
PRB084014502,K0.8Fe1.988Co0.012Se2,tc,11.0,K,Yes,11,,
PRB084014502,K0.8Fe1.992Co0.008Se2,tc,17.0,K,Yes,17,,
PRB084014502,K0.8Fe1.993Cr0.007Se2,tc,11.0,K,Yes,11,,
PRB084014502,K0.8Fe1.995Zn0.005Se2,tcn,4.0,K,No,,4,
PRB084014502,K0.8Fe1.996Co0.004Se2,tc,22.0,K,Yes,22,,
PRB084014502,K0.8Fe1.996Cr0.004Se2,tc,20.0,K,Yes,20,,
PRB084014502,K0.8Fe1.99Mn0.01Se2,tc,31.0,K,Yes,31,,
PRB084054526,K0.8Fe2Se0.42S1.58,tc,1.9,K,Yes,1.9,,PRB084054526
JPCM023052203,K0.8Fe2Se1.96,tc,29.5,K,Yes,29.5,,JPCM023052203
PRB083104508,K0.8Fe2Se2,tc,33.0,K,Yes,33,,PRB083104508
PHC3560012,K0.8La0.2Bi1O3,tc,12.2,K,Yes,12.2,,
PHC3840343,K0.915Bi1.085O3,tc,9.0,K,Yes,9,,
PHC3840343,K0.92Bi1.08O3,tc,0.0,K,Yes,0,,
PHC3050275,K0.95Bi1.05O3,tc,10.2,K,Yes,10.2,,
PHC3050275,K0.9Bi1.1O3,tc,10.2,K,Yes,10.2,,
PHC3560012,K0.9La0.1Bi1O3,tc,5.74,K,Yes,5.74,,
PRB087180507,K0.9Na0.1Fe2As2,tc,2.9,K,Yes,2.9,,PRB087180507
JPCM024382202,K1.15M1Fe2.02Se2,tc,10.0,K,Yes,10,,JPCM024382202
PHC3050275,K1.1Bi1O3,tc,8.8,K,Yes,8.8,,
PHC3050275,K1Bi1O3,tc,10.2,K,Yes,10.2,,
PRB097060509,K1Ca2Fe4As4F2,tc,33.36,K,Yes,33.36,,PRB097060509
SSC1030215,K1Ca2Nb3O10,tc,1.0,K,Yes,1,,
PRB096140504,K1Cr3As3,tc,4.77,K,Yes,4.77,,PRB096140504
PRB085054507,K1Fe1.5S2,tcn,4.0,K,No,,4,
NATP0090349,K1Fe1.932Co0.068As2,tc,1.845,K,Yes,1.845,,
PRB089134504,K1Fe2As2,tc,3.94,K,Yes,3.94,,PRB089134504
SCIR0020426,K1Fe2Se2,tc,40.0,K,Yes,40,,SCIR0020426
PR02606315,K1Hg1C4,tc,1.135,K,Yes,1.135,,
SYN0050257,K1Hg1C8,tc,1.94,K,Yes,1.94,,
SSC1030215,K1La1Nb2O7,tcn,0.5,K,No,,0.5,
PRB087045124,K1Ni2S2,tc,0.46,K,Yes,0.46,,PRB087045124
PRB086054512,K1Ni2Se2,tc,0.8,K,Yes,0.8,,PRB086054512
JPS0731651,K1Os2O6,tc,9.8,K,Yes,9.8,,
11,K1Sb1,tcn,1.28,K,No,,1.28,
SSS0280031,K1Ti2Sb2O1,tcn,1.76,K,No,,1.76,SSS0280031
SYN0050257,K1Tl1.5,tcn,0.4,K,No,,0.4,
GIC1981288,K1Tl1.5C4,tc,2.7,K,Yes,2.7,,
GIC1981288,K1Tl1.5C8,tc,2.45,K,Yes,2.45,,
SSC1200095,K1V6S8,tc,0.71,K,Yes,0.71,,
PRL0770167,K2.75Ba0.25C60,tc,15.0,K,Yes,15,,
PRB095014502,K2Cr3As3,tc,6.2,K,Yes,6.2,,PRB095014502
MRB0200935,K2In1Mo15Se19,tc,1.3,K,Yes,1.3,,
MRB0200935,K2Mo15Se19,tc,2.1,K,Yes,2.1,,
SCIB0630952,K2Mo3As3,tc,10.25,K,Yes,10.25,,SCIB0630952
MRB0190915,K2Mo6Se6,tcn,1.0,K,No,,1,
PR05200483,K3N1H3C60,tc,28.0,K,Yes,28,,
1361,La0.05Th0.95,tc,1.3,K,Yes,1.3,,
PCS0312653,La0.06Th0.94Pb3,tc,5.58,K,Yes,5.58,,
JPS086104704,La0.15Ce0.85Ni1C2,tcn,0.4,K,No,,0.4,
PHC3990165,La0.1Nd0.9Pt2.1B2.4C1.2,tc,3.45,K,Yes,3.45,,
PHC3640575,La0.1Pr0.9Ba1.5Sr0.5Cu3O6.98,tcn,10.0,K,No,,10,
SSC0970487,La0.1Pr0.9Ba2Cu2Nb1O8,tcn,2.0,K,No,,2,
PR0487636,La0.1Sr0.9Ti1O3,tcn,1.2,K,No,,1.2,
1361,La0.1Th0.9,tc,1.48,K,Yes,1.48,,
PCS0312653,La0.23Th0.77Pb3,tc,2.61,K,Yes,2.61,,
JPS086104704,La0.25Ce0.75Ni1C2,tcn,0.4,K,No,,0.4,
PHC3010048,La0.25Dy0.75Ba1Ca1Cu3O7,tc,59.0,K,Yes,59,,
SSC0970487,La0.25Pr0.75Ba2Cu2Nd1O8,tcn,2.0,K,No,,2,
PHC3010048,La0.25Sm0.75Ba1Ca1Cu3O7,tc,65.0,K,Yes,65,,
PCS0312653,La0.25Th0.75Sn3,tc,3.94,K,Yes,3.94,,
PHB1350434,La0.2Ce0.8Ir3,tc,2.79,K,Yes,2.79,,
JPS088113702,La0.2Na0.8Fe2As2,tc,27.0,K,Yes,27,,JPS088113702
PHC1990240,La0.2Nd0.8Ca1Ba1Cu3O7-Z,tc,57.0,K,Yes,57,,
JP01410693,La0.2Pr0.3Ca0.5Ba2Cu3O7-z,tc,100.0,K,Yes,100,,
PHC3640575,La0.2Pr0.8Ba1.5Sr0.5Cu3O6.974,tcn,10.0,K,No,,10,
PHC1990240,La0.2Sm0.8Ca1Ba1Cu3O7-Z,tc,56.0,K,Yes,56,,
1361,La0.2Th0.8,tc,1.87,K,Yes,1.87,,
PHB1350434,La0.2Th0.8Ir3,tc,4.48,K,Yes,4.48,,
SSC1010323,La0.2Th0.8Ni1C2,tc,4.2,K,Yes,4.2,,
PRB094094501,La0.2Th0.8Pt4Ge12,tc,5.67,K,Yes,5.67,,
SST031125008,La0.34Na0.66Fe2As2,tc,27.0,K,Yes,27,,SST031125008
JPS086104704,La0.35Ce0.65Ni1C2,tcn,0.4,K,No,,0.4,
PHB1350434,La0.39Ce0.61Ir3,tc,2.74,K,Yes,2.74,,
PHC3990165,La0.3Nd0.7Pt2.1B2.4C1.2,tc,4.28,K,Yes,4.28,,
PHC3640575,La0.3Pr0.7Ba1.5Sr0.5Cu3O6.945,tcn,10.0,K,No,,10,
MPL0110323,La0.3Pr0.7Ca1Ba1Cu3O7,tcn,4.2,K,No,,4.2,
PRB091064510,La0.3Sm0.7Bi1S2F0.5O0.5,tc,5.14,K,Yes,5.14,,PRB091064510
PR0487636,La0.3Sr0.7Ti1O3,tcn,1.2,K,No,,1.2,
SSC1010323,La0.3Th0.7Ni1C2,tc,6.3,K,Yes,6.3,,
PHB1350434,La0.3Th0.7Ru2,tc,3.61,K,Yes,3.61,,
PRB079174523,La0.3Y0.7Fe1As1F0.15O0.85,tc,38.0,K,Yes,38,,PRB079174523
PRB079174523,La0.3Y0.7Fe1As1O1,tcn,10.0,K,No,,10,PRB079174523
PHB1350434,La0.47Th0.53Ru2,tc,1.73,K,Yes,1.73,,
PRB094094501,La0.4Ce0.6Pt4Ge12,tcn,0.0,K,No,,0,
PRB094094523,La0.4Ce0.6Ru3Si2,tc,2.47,K,Yes,2.47,,
PRB094094501,La0.4Ce0.8Pt4Ge12,tcn,0.0,K,No,,0,
JPCL0090868,La0.4Cs0.6Rb1Fe4As4,tc,24.0,K,Yes,24,,
PHC1990240,La0.4Eu0.6Ca1Ba1Cu3OZ,tc,62.0,K,Yes,62,,
JPCL0090868,La0.4Na0.6Rb1Fe4As4,tc,25.5,K,Yes,25.5,,
PHC1990240,La0.4Nd0.6Ca1Ba1Cu3O7-Z,tc,63.0,K,Yes,63,,
PHC3010048,La0.4Pr0.4Ba1Ca1Cu3O7,tc,14.0,K,Yes,14,,
PHC3640575,La0.4Pr0.6Ba1.5Sr0.5Cu3O6.941,tcn,10.0,K,No,,10,
SSC0970487,La0.4Pr0.6Ba2Cu2Nb1O8,tcn,2.0,K,No,,2,
PRB091064510,La0.4Sm0.6Bi1S2F0.5O0.5,tc,4.21,K,Yes,4.21,,PRB091064510
PHC1990240,La0.4Sm0.6Ca1Ba1Cu3O7-Z,tc,64.0,K,Yes,64,,
PHB1350434,La0.4Th0.6Ir3,tc,4.03,K,Yes,4.03,,
SSC1010323,La0.4Th0.6Ni1C2,tc,7.6,K,Yes,7.6,,
PRB094094501,La0.4Th0.6Pt4Ge12,tc,6.77,K,Yes,6.77,,
PHC3640575,La0.55Ca0.15Pr0.3Ba1.5Sr0.5Cu3O6.851,tc,27.0,K,Yes,27,,
22,La0.55Lu0.45,tc,2.2,K,Yes,2.2,,
JP01407383,La0.55Pr1.3Sr0.15Cu1O4,tc,29.6,K,Yes,29.6,,
ACTM1660543,La0.59Rh4P12,tc,4.58,K,Yes,4.58,,
PRB088180509,La0.5Bi1S2F0.5O0.5,tc,10.0,K,Yes,10,,PRB088180509
PHC3640575,La0.5Ca0.2Pr0.3Ba1.5Sr0.5Cu3O6.829,tc,34.0,K,Yes,34,,
JPS086104704,La0.5Ce0.5Ni1C2,tcn,0.4,K,No,,0.4,
PHC3010048,La0.5Dy0.5Ba1Ca1Cu3O7,tc,55.0,K,Yes,55,,
PR05815238,La0.5Dy0.5Ba2Cu3OZ,tc,90.0,K,Yes,90,,
PR05815238,La0.5Er0.5Ba2Cu3OZ,tc,87.0,K,Yes,87,,
PR05815238,La0.5Eu0.5Ba2Cu3OZ,tc,88.0,K,Yes,88,,
PR05815238,La0.5Gd0.5Ba2Cu3OZ,tc,88.0,K,Yes,88,,
PR05815238,La0.5Ho0.5Ba2Cu3OZ,tc,87.0,K,Yes,87,,
PR05815238,La0.5Lu0.5Ba2Cu3OZ,tc,87.0,K,Yes,87,,
PR05100420,La0.5Lu0.5Ni2B2C1,tc,14.8,K,Yes,14.8,,
JPS088113702,La0.5Na0.5Fe2As2,tcn,4.0,K,No,,4,JPS088113702
PR05815238,La0.5Nd0.5Ba2Cu3OZ,tc,90.0,K,Yes,90,,
PHC3990165,La0.5Nd0.5Pt2.1B2.4C1.2,tc,6.36,K,Yes,6.36,,
PHC3640575,La0.5Pr0.5Ba1.5Sr0.5Cu3O6.916,tcn,10.0,K,No,,10,
SSC0970487,La0.5Pr0.5Ba2Cu2Nb1O8,tcn,2.0,K,No,,2,
JAP0897663,La0.5Pr0.5Ba2Cu3O7,tc,51.7,K,Yes,51.7,,
PR05815238,La0.5Pr0.5Ba2Cu3OZ,tc,94.0,K,Yes,94,,
PHC3010048,La0.5Sm0.5Ba1Ca1Cu3O7,tc,66.0,K,Yes,66,,
PR05815238,La0.5Sm0.5Ba2Cu3OZ,tc,90.0,K,Yes,90,,
PRB091064510,La0.5Sm0.5Bi1S2F0.5O0.5,tc,4.05,K,Yes,4.05,,PRB091064510
PR0487636,La0.5Sr0.5Ti1O3,tcn,1.2,K,No,,1.2,
JSC1280169,La0.5Sr1.5Cu0.25Fe0.75O3.8,tcn,10.0,K,No,,10,
SSC1010323,La0.5Th0.5Ni1C2,tc,7.9,K,Yes,7.9,,
PR05100420,La0.5Th0.5Ni2B2C1,tc,3.9,K,Yes,3.9,,
PCS0312653,La0.5Th0.5Sn3,tc,4.67,K,Yes,4.67,,
PR05815238,La0.5Tm0.5Ba2Cu3OZ,tc,84.0,K,Yes,84,,
PR05815238,La0.5Y0.5Ba2Cu3OZ,tc,84.0,K,Yes,84,,
PRB079174523,La0.5Y0.5Fe1As1F0.15O0.85,tc,40.2,K,Yes,40.2,,PRB079174523
PHC4700511,La0.5Y0.5Fe1As1F0.1O0.9,tc,31.4,K,Yes,31.4,,
P078172503,La0.5Y0.5Fe1As1O0.6,tc,39.3,K,Yes,39.3,,
PRB079174523,La0.5Y0.5Fe1As1O1,tcn,10.0,K,No,,10,PRB079174523
PR05815238,La0.5Yb0.5Ba2Cu3OZ,tc,81.0,K,Yes,81,,
PHC3640575,La0.65Ca0.05Pr0.3Ba1.5Sr0.5Cu3O6.896,tc,14.0,K,Yes,14,,
PHC3640575,La0.65Ca0.15Pr0.2Ba1.5Sr0.5Cu3O6.84,tc,45.0,K,Yes,45,,
JP01407383,La0.65Pr1.2Sr0.15Cu1O4,tc,31.4,K,Yes,31.4,,
P067184512,La0.68Eu0.2Sr0.12Cu1O4,tc,5.0,K,Yes,5,,P067184512
ACTM1660543,La0.69Rh4P12,tc,8.07,K,Yes,8.07,,
PHC3640575,La0.6Ca0.1Pr0.3Ba1.5Sr0.5Cu3O6.872,tc,26.0,K,Yes,26,,
PHC3640575,La0.6Ca0.2Pr0.2Ba1.5Sr0.5Cu3O6.809,tc,47.0,K,Yes,47,,
PRB094094501,La0.6Ce0.4Pt4Ge12,tcn,0.0,K,No,,0,
PRB094094523,La0.6Ce0.4Ru3Si2,tc,3.35,K,Yes,3.35,,
PHC1990240,La0.6Eu0.4Ca1Ba1Cu3OZ,tc,65.0,K,Yes,65,,
PRB087174512,La0.6Hf0.4Bi1S2O1,tc,1.74,K,Yes,1.74,,PRB087174512
PHC1990240,La0.6Nd0.4Ca1Ba1Cu3O7-Z,tc,67.0,K,Yes,67,,
PHC3640575,La0.6Pr0.4Ba1.5Sr0.5Cu3O6.91,tcn,10.0,K,No,,10,
JAP0897663,La0.6Pr0.4Ba2Cu3O7,tc,54.8,K,Yes,54.8,,
PHC3010048,La0.6Pr0.6Ba1Ca1Cu3O7,tc,28.0,K,Yes,28,,
JP01707353,La0.6Rh4P12,tc,17.0,K,Yes,17,,
PRB091064510,La0.6Sm0.4Bi1S2F0.5O0.5,tc,3.26,K,Yes,3.26,,PRB091064510
PHC1990240,La0.6Sm0.4Ca1Ba1Cu3O7-Z,tc,68.0,K,Yes,68,,
PRB087174512,La0.6Th0.4Bi1S2O1,tc,2.12,K,Yes,2.12,,PRB087174512
PHB1350434,La0.6Th0.4Ir3,tc,3.63,K,Yes,3.63,,
SSC1010323,La0.6Th0.4Ni1C2,tc,7.7,K,Yes,7.7,,
PRB094094501,La0.6Th0.4Pt4Ge12,tc,7.55,K,Yes,7.55,,
P078172503,La0.6Y0.4Fe1As1O0.6,tc,38.8,K,Yes,38.8,,
PHB1350434,La0.71Ce0.29Ir3,tc,3.08,K,Yes,3.08,,
PHC3640575,La0.75Ca0.05Pr0.2Ba1.5Sr0.5Cu3O6.886,tc,33.0,K,Yes,33,,
PHC3640575,La0.75Ca0.15Pr0.1Ba1.5Sr0.5Cu3O6.845,tc,62.0,K,Yes,62,,
PHC3010048,La0.75Dy0.25Ba1Ca1Cu3O7,tc,56.0,K,Yes,56,,
PHC3010048,La0.75Nd0.25Ba1Ca1Cu3O7,tc,55.0,K,Yes,55,,
SSC0970487,La0.75Pr0.25Ba22Nb1O8,tcn,2.0,K,No,,2,
ACTM1660543,La0.75Rh4P12,tc,8.71,K,Yes,8.71,,
PHC3010048,La0.75Sm0.25Ba1Ca1Cu3O7,tc,71.0,K,Yes,71,,
PHC2270160,La0.75Sr0.25Cu1O4,tc,14.4,K,Yes,14.4,,
PRB090054510,La0.75Y0.25F0.5Bi1S2O0.5,tc,3.1,K,Yes,3.1,,PRB090054510
SSC1490448,La0.75Y0.25Ni1C2,tc,1.65,K,Yes,1.65,,
PCS0312653,La0.76Th0.24Pb3,tc,1.46,K,Yes,1.46,,
PHC4700357,La0.77Sm0.1Sr0.13Fe1As1O1,tc,18.0,K,Yes,18,,
PRB094054508,La0.77Y0.23Fe0.995Mn0.005As1F0.11O0.89,tc,27.9,K,Yes,27.9,,PRB094054508
PHC3640575,La0.7Ca0.1Pr0.2Ba1.5Sr0.5Cu3O6.862,tc,40.0,K,Yes,40,,
PHC3640575,La0.7Ca0.2Pr0.1Ba1.5Sr0.5Cu3O6.809,tc,63.0,K,Yes,63,,
PRB087174512,La0.7Hf0.3Bi1S2O1,tc,1.74,K,Yes,1.74,,PRB087174512
PHC3990165,La0.7Nd0.3Pt2.1B2.4C1.2,tc,7.84,K,Yes,7.84,,
PHC3640575,La0.7Pr0.3Ba1.5Sr0.5Cu3O6.909,tcn,10.0,K,No,,10,
JAP0897663,La0.7Pr0.3Ba2Cu3O7,tc,57.1,K,Yes,57.1,,
MPL0110323,La0.7Pr0.3Ca1Ba1Cu3O7,tc,40.0,K,Yes,40,,
PRB091064510,La0.7Sm0.3Bi1S2F0.5O0.5,tc,3.11,K,Yes,3.11,,PRB091064510
PR0487636,La0.7Sr0.3Ti1O3,tcn,1.2,K,No,,1.2,
1361,La0.7Th0.3,tc,4.88,K,Yes,4.88,,
PRB087174512,La0.7Th0.3Bi1S2O1,tc,2.04,K,Yes,2.04,,PRB087174512
SSC1010323,La0.7Th0.3Ni1C2,tc,7.2,K,Yes,7.2,,
PRB087174512,La0.7Ti0.3Bi1S2O1,tc,2.22,K,Yes,2.22,,PRB087174512
PRB079174523,La0.7Y0.3Fe1As1F0.15O0.85,tc,36.2,K,Yes,36.2,,PRB079174523
PHC4700511,La0.7Y0.3Fe1As1F0.1O0.9,tc,34.8,K,Yes,34.8,,
P078172503,La0.7Y0.3Fe1As1O0.6,tc,35.6,K,Yes,35.6,,
PRB079174523,La0.7Y0.3Fe1As1O1,tcn,10.0,K,No,,10,PRB079174523
PCS0720442,La0.81Dy0.06Sr0.13Fe1As1O1,tc,16.5,K,Yes,16.5,,
PCS0720442,La0.81Gd0.06Sr0.13Fe1As1O1,tc,17.1,K,Yes,17.1,,
ACTM1660543,La0.81Rh4P12,tc,9.81,K,Yes,9.81,,
PCS0720442,La0.81Sm0.06Sr0.13Fe1As1O1,tc,18.5,K,Yes,18.5,,
JSC1360151,La0.84Mo6Se8,tc,9.4,K,Yes,9.4,,
SSC0180725,La0.84Pr0.16,tc,2.2,K,Yes,2.2,,
PR04912051,La0.84Tm0.16Ru3Si2,tc,6.1,K,Yes,6.1,,
SSC0130025,La0.84Tm0.16Sn3,tc,3.33,K,Yes,3.33,,
PHC3640575,La0.85Ca0.05Pr0.1Ba1.5Sr0.5Cu3O6.865,tc,50.0,K,Yes,50,,
PHC3640575,La0.85Ca0.15Ba1.5Sr0.5Cu3O6.819,tc,71.0,K,Yes,71,,
PRL0761348,La0.85Ca0.15Nd1Cu1O4,tc,23.0,K,Yes,23,,
PRB094094501,La0.85Ce0.15Pt4Ge12,tc,2.17,K,Yes,2.17,,
PHC4690300,La0.85Na0.15Fe1As1F0.15O0.85,tc,28.0,K,Yes,28,,
JP01407383,La0.85Pr1Sr0.15Cu1O4,tc,32.6,K,Yes,32.6,,
PHC4690894,La0.85Sr0.15Fe1As1O1,tc,25.4,K,Yes,25.4,,
P078092503,La0.85Sr0.15Fe1As1O1-z,tc,23.0,K,Yes,23,,P078092503
P069104506,La0.85Sr1.15Fe1O3.94,tcn,10.0,K,No,,10,
PHC3700163,La0.85Sr1.15Fe1O4,tcn,10.0,K,No,,10,
PRB087174512,La0.85Th0.15Bi1S2O1,tc,2.85,K,Yes,2.85,,PRB087174512
PRB097054522,La0.85Y0.15Fe0.995Mn0.005As1F0.11O0.89,tc,26.0,K,Yes,26,,
SSC1490448,La0.85Y0.15Ni1C2,tc,2.08,K,Yes,2.08,,
PHC4690894,La0.87Sr0.13Fe1As1O1,tc,25.9,K,Yes,25.9,,
PCS0312653,La0.87Th0.13Sn3,tc,6.26,K,Yes,6.26,,
JSC1360151,La0.88Mo6Se8,tc,10.25,K,Yes,10.25,,
PHC4690894,La0.89Sr0.11Fe1As1O1,tc,25.5,K,Yes,25.5,,
PHC3640575,La0.8Ca0.1Pr0.1Ba1.5Sr0.5Cu3O6.856,tc,56.0,K,Yes,56,,
PHC3640575,La0.8Ca0.2Ba1.5Sr0.5Cu3O6.794,tc,73.0,K,Yes,73,,
PHC1900104,La0.8Ca0.2Rh1O3,tcn,4.2,K,No,,4.2,
JPS086104704,La0.8Ce0.2Ni1C2,tcn,0.4,K,No,,0.4,
PRB094094501,La0.8Ce0.2Pt4Ge12,tc,1.57,K,Yes,1.57,,
PRB094094523,La0.8Ce0.2Ru3Si2,tc,4.62,K,Yes,4.62,,
PHC1990240,La0.8Eu0.2Ca1Ba1Cu3OZ,tc,69.0,K,Yes,69,,
PRB087174512,La0.8Hf0.2Bi1S2O1,tc,2.36,K,Yes,2.36,,PRB087174512
22,La0.8Lu0.2,tc,3.4,K,Yes,3.4,,
PHC4690300,La0.8Na0.2Fe1As1F0.2O0.8,tc,23.02,K,Yes,23.02,,
PHC1990240,La0.8Nd0.2Ca1Ba1Cu3O7-Z,tc,71.0,K,Yes,71,,
PHC3640575,La0.8Pr0.2Ba1.5Sr0.5Cu3O6.906,tc,24.0,K,Yes,24,,
PHC3010048,La0.8Pr0.2Ba1Ca1Cu3O7,tc,52.0,K,Yes,52,,
JAP0897663,La0.8Pr0.2Ba2Cu3O7,tc,59.8,K,Yes,59.8,,
PR04310568,La0.8Pr0.2Ba2Cu3O7-Z,tc,20.5,K,Yes,20.5,,
1965,La0.8Pr0.2Se1,tc,0.03,K,Yes,0.03,,
P075184535,La0.8Rh4P12,tc,14.9,K,Yes,14.9,,
PHC1990240,La0.8Sm0.2Ca1Ba1Cu3O7-Z,tc,71.0,K,Yes,71,,
PRB087174512,La0.8Sr0.2Bi1S2O1,tcn,1.2,K,No,,1.2,PRB087174512
SOV0010021,La0.8Sr0.2Cu0.98Ni0.02O4+z,tc,22.36,K,Yes,22.36,,
JSC1280169,La0.8Sr0.2Cu0.9Fe0.1O4,tcn,10.0,K,No,,10,
PHC4690894,La0.8Sr0.2Fe1As1O1,tc,24.9,K,Yes,24.9,,
MAT8033978,La0.8Sr0.2Ni1As1O1,tc,3.5,K,Yes,3.5,,MAT8033978
1361,La0.8Th0.2,tc,5.15,K,Yes,5.15,,
PRB087174512,La0.8Th0.2Bi1S2O1,tc,2.046,K,Yes,2.046,,PRB087174512
SSC1010323,La0.8Th0.2Ni1C2,tc,5.4,K,Yes,5.4,,
PRB094094501,La0.8Th0.2Pt4Ge12,tc,8.06,K,Yes,8.06,,
PRB096214505,La0.8Ti0.2Bi1S2O1,tc,2.48,K,Yes,2.48,,PRB096214505
SSC0180725,La0.8Y0.2,tc,2.7,K,Yes,2.7,,
PRB094054508,La0.8Y0.2Fe0.85Mn0.15As1F0.11O0.89,tcn,0.0,K,No,,0,PRB094054508
PRB094054508,La0.8Y0.2Fe0.8Mn0.2As1F0.11O0.89,tcn,0.0,K,No,,0,PRB094054508
PRB097054522,La0.8Y0.2Fe0.95Mn0.05As1F0.11O0.89,tcn,0.0,K,No,,0,
PRB097054522,La0.8Y0.2Fe0.965Mn0.035As1F0.11O0.89,tc,4.7,K,Yes,4.7,,
PRB094054508,La0.8Y0.2Fe0.96Mn0.06As1F0.11O0.89,tcn,0.0,K,No,,0,PRB094054508
PRB094054508,La0.8Y0.2Fe0.975Mn0.025As1F0.11O0.89,tc,10.1,K,Yes,10.1,,PRB094054508
PRB097054522,La0.8Y0.2Fe0.97Mn0.03As1F0.11O0.89,tc,10.8,K,Yes,10.8,,
PRB097054522,La0.8Y0.2Fe0.985Mn0.015As1F0.11O0.89,tc,20.2,K,Yes,20.2,,
PRB094054508,La0.8Y0.2Fe0.98Mn0.02As1F0.11O0.89,tc,14.1,K,Yes,14.1,,PRB094054508
PRB097054522,La0.8Y0.2Fe0.992Mn0.008As1F0.11O0.89,tc,25.0,K,Yes,25,,
PRB097054522,La0.8Y0.2Fe0.995Mn0.005As1F0.11O0.89,tc,29.1,K,Yes,29.1,,
PRB092020505,La0.8Y0.2Fe0.997Mn0.003As1F0.11O0.89,tc,29.3,K,Yes,29.3,,
PRB097054522,La0.8Y0.2Fe0.998Mn0.002As1F0.11O0.89,tc,31.2,K,Yes,31.2,,
PRB097054522,La0.8Y0.2Fe0.999Mn0.001As1F0.11O0.89,tc,31.8,K,Yes,31.8,,
PRB092020505,La0.8Y0.2Fe0.99Mn0.01As1F0.11O0.89,tc,25.3,K,Yes,25.3,,
PRB094054508,La0.8Y0.2Fe0.9Mn0.1As1F0.11O0.89,tcn,0.0,K,No,,0,PRB094054508
PRB097054522,La0.8Y0.2Fe1As1F0.11O0.89,tc,33.2,K,Yes,33.2,,
PHC4700511,La0.8Y0.2Fe1As1F0.1O0.9,tc,32.0,K,Yes,32,,
P078172503,La0.8Y0.2Fe1As1O0.6,tc,32.5,K,Yes,32.5,,
JPS079103703,La0.8Y0.2Fe1As1O0.7,tc,34.0,K,Yes,34,,JPS079103703
SSC1490448,La0.8Y0.2Ni1C2,tc,1.26,K,Yes,1.26,,
PRB087174512,La0.8Zr0.2Bi1S2O1,tc,1.66,K,Yes,1.66,,PRB087174512
1255,La0.91Lu0.09,tc,3.28,K,Yes,3.28,,
PR05206784,La0.91Nd0.09Pt1Si1,tc,1.73,K,Yes,1.73,,
PR05906557,La0.925Pr0.925Sr0.15Cu1O4,tc,32.0,K,Yes,32,,
SSC0130025,La0.92Gd0.08Sn3,tc,4.28,K,Yes,4.28,,
SSC0180725,La0.92Lu0.08,tc,3.72,K,Yes,3.72,,
PR05206784,La0.92Nd0.08Pt1Si1,tc,2.04,K,Yes,2.04,,
PR04909248,La0.92Pr0.85Sr0.23Cu1O4,tc,17.0,K,Yes,17,,
PHC4690894,La0.92Sr0.08Fe1As1O1,tc,18.9,K,Yes,18.9,,
PR04912051,La0.92Tm0.08Ru3Si2,tc,6.8,K,Yes,6.8,,
SSC0130025,La0.92Tm0.08Sn3,tc,5.17,K,Yes,5.17,,
